user_id_str,info,whether_active,user_screen_name
1230093582,F,no,Not found
123025723,F,no,Not found
123058781,M,no,Not found
123063443,F,no,Not found
1231247078,F,no,Not found
123138418,M,no,Not found
1231623577,M,no,Not found
123250518,F,no,Not found
123395375,F,no,Not found
12354332,M,no,Not found
1236535040,M,no,Not found
123786840,M,no,Not found
123932503,M,no,Not found
1239473694,M,no,Not found
123986777,M,no,Not found
1241883061,M,no,Not found
124378584,F,no,Not found
124404304,F,no,Not found
1244072876,M,no,Not found
1245377257,M,no,Not found
124711644,F,no,Not found
1247387130,F,no,Not found
1247390532,M,no,Not found
1250127331,M,no,Not found
125043881,F,no,Not found
1252182044,M,no,Not found
125271226,F,no,Not found
1252833174,F,no,Not found
125549164,M,yes,atreyee21
1255519657,M,no,Not found
125650028,F,no,Not found
125675649,F,yes,txomon
125855207,M,no,Not found
1259743393,M,no,Not found
126035165,M,no,Not found
126198197,M,no,Not found
126275079,F,yes,x_Th3_Truth_x
126296982,F,no,Not found
1264262994,F,no,Not found
126775981,M,no,Not found
1267884572,F,no,Not found
126798896,M,no,Not found
126899504,M,no,Not found
127186083,F,no,Not found
127216617,M,no,Not found
1272524941,M,yes,dilbil143
1272912847,F,no,Not found
1275164778,F,no,Not found
127537708,M,no,Not found
127661496,M,no,Not found
1279137632,M,no,Not found
127919462,M,no,Not found
1282440788,M,no,Not found
128257538,F,no,Not found
1283793956,F,no,Not found
128488970,F,no,Not found
128567981,M,no,Not found
128924589,M,no,Not found
128997218,M,no,Not found
129120198,F,no,Not found
129126829,M,no,Not found
129160124,M,no,Not found
129433156,F,no,Not found
1295519514,M,no,Not found
129697885,F,no,Not found
1298178577,M,no,Not found
12990382,F,yes,gwaland
1299813354,F,no,Not found
130224308,M,no,Not found
130286785,F,no,Not found
130365577,M,no,Not found
130496112,F,no,Not found
130517879,M,no,Not found
130542674,M,no,Not found
1305569118,M,no,Not found
130562268,F,no,Not found
1306172023,M,no,Not found
1307262936,M,no,Not found
1307695656,F,no,Not found
130804711,M,no,Not found
130880279,M,no,Not found
1310112145,M,no,Not found
1311229880,F,no,Not found
131126857,M,no,Not found
13115722,F,no,Not found
131171272,F,no,Not found
131460274,M,no,Not found
131499245,F,no,Not found
131604312,F,no,Not found
1317501266,M,no,Not found
131804147,F,no,Not found
13185272,F,no,Not found
131875240,M,no,Not found
132005269,M,no,Not found
13220972,F,no,Not found
132216274,M,no,Not found
132298807,M,no,Not found
132345637,M,no,Not found
1324097502,F,no,Not found
1327014067,F,no,Not found
132710839,M,no,Not found
132802580,M,no,Not found
1328586871,F,no,Not found
1331094420,M,no,Not found
1331382218,F,no,Not found
133172077,F,no,Not found
1332619080,F,no,Not found
133331869,M,no,Not found
133372179,M,no,Not found
13338102,M,no,Not found
13342982,F,no,Not found
133463777,F,no,Not found
1335117152,F,no,Not found
133676329,M,no,Not found
1337220458,M,no,Not found
133795300,M,no,Not found
133797586,M,no,Not found
133856231,F,no,Not found
134019610,M,no,Not found
1341139117,F,no,Not found
1341265634,F,yes,Amez_W
134152350,F,no,Not found
1341576906,F,no,Not found
1341621092,F,no,Not found
1342169138,F,no,Not found
134224628,F,no,Not found
1342890242,M,no,Not found
134300648,F,yes,project_gonzo
134441618,M,no,Not found
1347081,M,no,Not found
13476,F,no,Not found
134810256,M,no,Not found
1350309146,M,no,Not found
1350682064,M,no,Not found
135502850,M,no,Not found
135954665,M,no,Not found
1361280048,M,no,Not found
136149094,F,no,Not found
1362528962,F,no,Not found
136309879,M,no,Not found
136371386,M,no,Not found
136436560,M,no,Not found
1366998474,M,no,Not found
1368629880,M,no,Not found
136877426,F,no,Not found
137088213,F,no,Not found
137123695,F,no,Not found
137296976,F,no,Not found
1373354234,M,no,Not found
13740992,F,no,Not found
1375840513,F,no,Not found
137685030,F,no,Not found
13785352,M,no,Not found
137862377,F,no,Not found
13789392,F,no,Not found
1379501556,F,no,Not found
1382868224,F,no,Not found
1384473733,F,no,Not found
138508778,F,no,Not found
1385160163,M,no,Not found
138605435,F,no,Not found
1386347844,F,no,Not found
1387267123,M,yes,TheMimiZee
13882422,F,no,Not found
13889932,F,no,Not found
138978328,M,no,Not found
139165916,F,no,Not found
1393820892,M,no,Not found
1396008896,M,no,Not found
139661734,F,no,Not found
1399656060,F,no,Not found
1399965709,F,yes,MrsSardines
1400566585,M,no,Not found
1406012990,M,no,Not found
1406113056,M,no,Not found
140738682,M,yes,anishsangamam
1408158571,M,no,Not found
140830425,F,no,Not found
140830709,M,no,Not found
1410524233,M,no,Not found
141121479,M,no,Not found
141124744,F,no,Not found
1411316072,F,no,Not found
1412117684,M,no,Not found
141214344,F,no,Not found
141271246,F,no,Not found
141385502,M,no,Not found
141514699,F,no,Not found
14156531,F,no,Not found
14165197,M,no,Not found
141671276,M,no,Not found
14169855,M,no,Not found
14174259,F,no,Not found
1417638818,F,no,Not found
14178066,F,no,Not found
14179329,M,no,Not found
1418181036,F,no,Not found
141825371,M,no,Not found
14185846,M,no,Not found
141982530,M,no,Not found
14207831,F,no,Not found
1420997119,M,no,Not found
14219242,F,no,Not found
142201059,M,no,Not found
142202059,F,no,Not found
1422404605,M,no,Not found
142245903,M,no,Not found
142336132,F,no,Not found
14236062,M,no,Not found
142367546,F,no,Not found
14244836,M,no,Not found
1426169557,M,no,Not found
1426285704,F,yes,GirlGamer7
1426939406,M,yes,AshitMr
14270441,M,no,Not found
14286542,F,no,Not found
14291504,F,no,Not found
142965641,F,no,Not found
1431216638,M,no,Not found
1431493604,F,no,Not found
1431766428,F,no,Not found
1432265624,F,no,Not found
14326901,F,no,Not found
1432735982,M,no,Not found
1433151373,F,no,Not found
1433596662,M,no,Not found
14338005,F,no,Not found
14348618,F,no,Not found
143612332,M,no,Not found
143616096,M,no,Not found
1437440348,F,no,Not found
1438929086,M,no,Not found
143901353,M,no,Not found
14390535,M,no,Not found
14395933,F,no,Not found
144054572,F,no,Not found
1440700358,F,no,Not found
14413853,F,no,Not found
1442257567,M,no,Not found
1442384731,F,no,Not found
14430913,F,no,Not found
1443351012,F,no,Not found
144417801,F,no,Not found
14454583,F,no,Not found
14457833,M,no,Not found
14472490,F,yes,mcurie
1447445948,F,no,Not found
14478142,F,no,Not found
144781839,M,no,Not found
14482449,M,no,Not found
14485559,M,no,Not found
144895933,F,no,Not found
14498026,M,no,Not found
145108983,M,no,Not found
14511067,F,no,Not found
14511397,F,no,Not found
1451144844,M,no,Not found
1451301258,F,no,Not found
145173032,M,no,Not found
14518496,F,no,Not found
14529167,F,no,Not found
145299291,F,no,Not found
145332416,M,no,Not found
1454746249,M,no,Not found
14550524,F,no,Not found
145552068,F,no,Not found
145579921,F,no,Not found
14558447,M,no,Not found
145641469,M,no,Not found
14579180,F,no,Not found
145830764,M,no,Not found
145874524,F,no,Not found
145940316,F,no,Not found
1460017836,M,no,Not found
1460207450,M,no,Not found
14623584,M,no,Not found
14628431,F,no,Not found
14630611,F,no,Not found
146366224,F,no,Not found
14641347,M,no,Not found
14642815,F,no,Not found
1464721,M,no,Not found
146474152,F,no,Not found
1464784302,F,no,Not found
1466110303,M,no,Not found
14664983,F,no,Not found
14674489,M,no,Not found
146850968,F,no,Not found
146854424,F,no,Not found
14689526,M,no,Not found
14700303,M,no,Not found
1471351405,F,no,Not found
14714640,M,no,Not found
14725241,M,no,Not found
147258286,F,no,Not found
14734628,F,no,Not found
14735760,M,no,Not found
14742294,F,no,Not found
1474235352,M,no,Not found
147460928,F,no,Not found
147466515,F,no,Not found
14750654,F,no,Not found
14751142,F,yes,dabassman
14751199,M,no,Not found
14752991,F,no,Not found
1475688288,M,no,Not found
147572461,F,no,Not found
14761966,F,no,Not found
1476239612,F,no,Not found
1476338503,F,no,Not found
1477351771,M,no,Not found
14775460,F,no,Not found
14788643,M,no,Not found
147917902,M,no,Not found
14799621,F,no,Not found
14804040,F,no,Not found
148232923,M,no,Not found
14839627,F,no,Not found
1484214871,F,no,Not found
14850093,F,no,Not found
1485862291,M,no,Not found
148709111,F,no,Not found
14873714,F,no,Not found
14874668,M,no,Not found
14881631,F,no,Not found
148965893,F,no,Not found
149080277,M,no,Not found
1491042913,M,no,Not found
14919697,M,no,Not found
149205496,M,no,Not found
149248906,F,no,Not found
14927276,M,no,Not found
14934017,F,no,Not found
149431832,F,no,Not found
14943592,F,no,Not found
14943648,F,no,Not found
1495902908,M,no,Not found
14961827,M,no,Not found
1497020376,M,no,Not found
1497371880,M,no,Not found
1498050319,F,no,Not found
14993218,F,no,Not found
15007269,F,yes,ckhayek
150359654,F,no,Not found
150532059,M,no,Not found
1505880222,F,no,Not found
150627187,M,no,Not found
150627558,M,no,Not found
150754343,M,no,Not found
15075643,M,no,Not found
150899457,M,no,Not found
15105778,F,no,Not found
1510968974,F,no,Not found
1511378161,M,no,Not found
15115595,F,no,Not found
15125017,M,no,Not found
1513009609,M,no,Not found
1513256844,F,no,Not found
15142607,F,no,Not found
151471706,M,no,Not found
151492311,F,no,Not found
15151130,M,no,Not found
15154216,F,no,Not found
1515611550,F,no,Not found
151609819,M,no,Not found
151616339,F,no,Not found
15168641,M,no,Not found
1517391378,F,no,Not found
15182943,M,no,Not found
1518478992,F,no,Not found
15190396,F,no,Not found
15198621,F,no,Not found
15212202,M,no,Not found
152122529,M,no,Not found
152239459,F,no,Not found
1524849332,F,no,Not found
15256454,F,no,Not found
1526183060,M,no,Not found
1526616858,F,no,Not found
15289170,F,no,Not found
15309467,F,no,Not found
1532349217,M,no,Not found
153250923,F,no,Not found
1535853464,M,no,Not found
15363966,M,no,Not found
1536789132,M,no,Not found
153682905,F,no,Not found
153715301,M,no,Not found
153740950,F,no,Not found
15374193,F,no,Not found
15378410,M,no,Not found
15381530,M,no,Not found
15382897,F,no,Not found
1539218622,M,no,Not found
15397836,M,no,Not found
153985889,M,no,Not found
153994363,F,no,Not found
15401714,M,no,Not found
15425623,M,no,Not found
15428835,F,no,Not found
1543065206,F,no,Not found
1543185697,F,yes,Aosc2
1543201405,F,no,Not found
15435643,F,no,Not found
154600632,F,no,Not found
15485578,F,no,Not found
15488009,M,no,Not found
1548937333,M,no,Not found
1549113302,M,no,Not found
155003641,F,no,Not found
155014004,F,no,Not found
15505194,M,no,Not found
15506142,F,no,Not found
15509365,F,no,Not found
15512995,F,no,Not found
15519893,M,no,Not found
15525392,M,no,Not found
1552602110,F,no,Not found
1552913352,F,no,Not found
1553335416,M,no,Not found
15541644,M,no,Not found
15553634,M,no,Not found
155537738,M,no,Not found
155580590,M,no,Not found
155809091,F,no,Not found
15598558,M,no,Not found
15601717,M,no,Not found
15605226,F,no,Not found
156060699,F,no,Not found
1561239990,F,no,Not found
156131053,M,no,Not found
15615730,M,no,Not found
156171571,M,no,Not found
156198324,M,no,Not found
15621893,F,no,Not found
156226234,M,no,Not found
156302205,F,no,Not found
1563419432,M,no,Not found
156365299,M,no,Not found
15645220,M,no,Not found
15649238,M,no,Not found
15650995,M,no,Not found
156623701,M,no,Not found
156664343,F,no,Not found
1566707948,F,no,Not found
1567605745,F,no,Not found
15691325,M,no,Not found
15702261,F,no,Not found
1570475924,M,no,Not found
15706176,F,no,Not found
157082557,M,no,Not found
15719115,F,no,Not found
1573702586,M,no,Not found
1573710464,F,no,Not found
15737594,F,no,Not found
157427871,M,no,Not found
157560205,F,no,Not found
1577510622,M,no,Not found
157754047,M,no,Not found
15778256,M,no,Not found
1578211250,M,no,Not found
15786675,F,no,Not found
15787103,F,no,Not found
1579149218,F,no,Not found
15797540,F,no,Not found
157978194,M,no,Not found
15800559,M,no,Not found
158026443,F,no,Not found
15804019,M,no,Not found
15811626,F,no,Not found
15813022,F,no,Not found
158471550,M,no,Not found
158477287,F,no,Not found
15855472,M,no,Not found
15855611,M,no,Not found
158632671,M,no,Not found
158697330,F,no,Not found
158747192,M,no,Not found
1587800580,M,no,Not found
158901096,F,no,Not found
1589158129,F,no,Not found
159263436,F,no,Not found
159569470,M,no,Not found
1596597066,M,no,Not found
15966805,M,no,Not found
1598735474,F,no,Not found
15994251,M,no,Not found
16002149,F,no,Not found
1600602589,M,no,Not found
1600786148,M,no,Not found
160207018,M,no,Not found
1602373866,M,no,Not found
16031661,M,no,Not found
160326340,F,no,Not found
160351387,F,no,Not found
1603957266,M,no,Not found
160435815,F,no,Not found
16049859,M,no,Not found
160500308,M,no,Not found
16059827,M,no,Not found
160624276,F,no,Not found
160630312,F,no,Not found
160671279,M,no,Not found
16069130,F,no,Not found
16073359,F,no,Not found
16082982,F,no,Not found
160932553,M,no,Not found
160933502,F,no,Not found
16096263,M,no,Not found
16101134,M,yes,omshivaprakash
16102387,F,no,Not found
161449578,F,no,Not found
16159321,M,no,Not found
161705768,M,no,Not found
16185203,F,no,Not found
1619221243,M,no,Not found
162089681,F,no,Not found
16223638,F,no,Not found
162340562,F,no,Not found
16242592,M,no,Not found
162537044,F,no,Not found
16267103,M,no,Not found
162682950,F,no,Not found
1628265182,F,no,Not found
1628707292,M,no,Not found
16293078,F,no,Not found
163000247,F,no,Not found
1631057065,M,no,Not found
163148814,F,no,Not found
163170036,F,no,Not found
163234448,M,no,Not found
163289933,M,no,Not found
163312261,F,no,Not found
163413904,F,no,Not found
1635662430,M,no,Not found
16359947,F,no,Not found
1636351038,F,no,Not found
16387631,M,no,Not found
16388482,M,no,Not found
1638891619,M,no,Not found
1639136594,F,yes,consultantweet
163963199,M,no,Not found
1640461520,M,no,Not found
164050933,M,no,Not found
16406450,M,no,Not found
1640736770,F,no,Not found
164157058,M,no,Not found
16423336,M,no,Not found
16446755,F,no,Not found
16448937,F,no,Not found
16453403,F,no,Not found
164623724,M,no,Not found
16464218,M,no,Not found
16470450,M,no,Not found
164729685,F,no,Not found
1648042608,F,no,Not found
1648631244,F,no,Not found
164955773,F,no,Not found
164982238,M,no,Not found
1650635150,F,no,Not found
165073789,F,no,Not found
165085783,M,no,Not found
16543736,F,yes,manchicken
1655129347,F,no,Not found
16554812,M,no,Not found
1655530248,M,no,Not found
165612240,M,no,Not found
16561291,F,no,Not found
16563829,F,no,Not found
1658664860,M,no,Not found
16606729,F,no,Not found
1660953337,M,no,Not found
166096228,M,no,Not found
16611081,M,no,Not found
1661750371,M,no,Not found
166228605,M,no,Not found
16630250,F,no,Not found
1663760480,M,no,Not found
166379619,F,no,Not found
166473207,F,no,Not found
16657113,F,no,Not found
1665978758,F,no,Not found
16660484,F,no,Not found
1666337360,F,no,Not found
166639440,F,no,Not found
16669765,F,no,Not found
166720784,M,no,Not found
166723839,M,no,Not found
166821407,F,no,Not found
166950381,M,no,Not found
16703283,M,no,Not found
167129822,F,no,Not found
1671883141,F,no,Not found
167464956,F,no,Not found
1675654579,M,no,Not found
1675908295,M,no,Not found
167760162,F,no,Not found
16790101,F,no,Not found
1679087676,M,no,Not found
16811143,M,no,Not found
1681422211,F,no,Not found
168142515,F,no,Not found
168418392,F,no,Not found
1684636556,F,no,Not found
16850092,M,no,Not found
1688112752,M,no,Not found
1688175043,M,no,Not found
1689125262,M,no,Not found
16898014,F,no,Not found
1690554211,F,no,Not found
16927781,F,no,Not found
1694032592,M,no,Not found
16950004,F,no,Not found
169523430,M,no,Not found
1695720008,F,no,Not found
16974098,M,no,Not found
16980347,M,no,Not found
16999368,F,no,Not found
17000855,M,no,Not found
17001077,M,no,Not found
17030728,F,no,Not found
170352544,M,no,Not found
17039457,F,no,Not found
1705468489,M,no,Not found
17055218,F,no,Not found
170651537,F,no,Not found
170667264,M,yes,RyanWSinclair
1708132520,F,no,Not found
1708460220,F,no,Not found
17084827,F,no,Not found
17089287,M,no,Not found
170900763,F,no,Not found
1709424714,M,no,Not found
171158169,F,no,Not found
1711776426,M,no,Not found
171240785,M,no,Not found
17126306,F,no,Not found
17130680,F,no,Not found
1716675360,M,no,Not found
1716777709,M,no,Not found
171696906,M,no,Not found
171850503,F,no,Not found
17187670,M,no,Not found
1719443911,F,no,Not found
17207272,F,no,Not found
17214068,F,no,Not found
17222771,M,no,Not found
1722359618,M,no,Not found
172256673,M,no,Not found
1722723162,M,no,Not found
1723815079,F,no,Not found
1724102322,F,no,Not found
17248402,M,no,Not found
172524748,F,no,Not found
172626466,M,no,Not found
172809356,F,no,Not found
17290429,M,no,Not found
173123534,M,no,Not found
173142203,F,no,Not found
173143092,F,no,Not found
17323794,F,no,Not found
173297485,F,no,Not found
1734174698,F,no,Not found
173449565,M,no,Not found
17347849,F,no,Not found
173697045,F,no,Not found
173736457,F,no,Not found
17405012,F,no,Not found
174116522,M,no,Not found
174156582,M,no,Not found
17423469,M,no,Not found
17424831,F,no,Not found
174330911,M,no,Not found
17451918,F,no,Not found
17472111,M,no,Not found
174731651,F,no,Not found
174933353,F,no,Not found
175085417,M,no,Not found
175093585,F,no,Not found
17516862,F,no,Not found
1752073602,F,no,Not found
175322072,F,no,Not found
175343365,M,no,Not found
175408947,F,no,Not found
175745790,M,no,Not found
175756541,M,no,Not found
175909588,F,no,Not found
176095861,F,no,Not found
176117605,M,no,Not found
17614296,M,no,Not found
176357673,F,no,Not found
17637584,M,no,Not found
17641725,M,no,Not found
17656588,F,no,Not found
176594328,F,no,Not found
17660203,F,no,Not found
17665654,F,no,Not found
176780438,M,no,Not found
176880919,M,no,Not found
176923496,F,no,Not found
17704456,M,no,Not found
17704691,M,no,Not found
17718528,F,no,Not found
17723801,F,no,Not found
177279835,M,no,Not found
17757282,M,no,Not found
177602645,F,no,Not found
